,S_a,S_q,S_sk,S_ku,S_z,S_10z,S_v,S_p,S_mean,S_sc,S_3a,S_dr,S_dq,S_dq6,S_bi,S_ci,S_vi,S_pk,S_vk,S_k,S_dc0-5,S_dc5-10,S_dc10-50,S_dc50-95,S_dc50-100,S_ds,S_td,S_tdi,S_rw,S_rwi,S_hw,S_fd,S_cl20,S_cl37,S_tr20,S_tr37
S_a,1.0,0.9410306259973384,0.10357874000348757,-0.23458496903104595,-0.016941249159642145,-0.10033453739934188,-0.11842371246632223,-0.13688118054690962,-0.07070144267554396,0.45584259516652836,0.8422828733214515,0.8422828733214529,0.7975138061564063,0.7871128648503172,0.01461894837185862,-0.0034740343528629047,-0.1091263156817534,0.08462541399479509,0.0802346104137871,0.5249839721198152,-0.14959060275188596,0.04483039584156572,0.3525489785010129,0.3564008381963643,0.11875236275415672,-0.01357456951849164,0.013267607731307356,0.16117775806959253,0.13428360271255763,-0.18764754268229192,0.2626453043715874,-0.1963662147532602,2.5204811686547174e-14,2.5204811686547174e-14,0.06121736065598663,0.06121736065598663
S_q,0.9410306259973384,1.0,0.16323977864843947,0.021100317806435506,-0.00022830820472458094,-0.057444654193551624,-0.11483722530719122,-0.11142311249491556,-0.0743334278412417,0.49272943826410764,0.893143243674792,0.8931432436747918,0.8495412816359162,0.8101255276478392,-0.09244351035624071,0.07274024485580641,-0.08992308173530622,0.2336209020901272,0.20070335280235757,0.37455128138510346,-0.12758648555262764,0.12160884507566982,0.3937859363444532,0.373119700707394,0.11498154750135203,0.003858293649062669,-0.028658638760061906,0.12670615203806787,0.07234332107560786,-0.17310652150716332,0.24457812283873973,-0.1635699082310362,-1.7994507807181115e-13,-1.7994507807181115e-13,0.08427110571544576,0.08427110571544576
S_sk,0.10357874000348757,0.16323977864843947,1.0,0.15249687080305416,-0.05332388451724979,0.0392928365790415,0.1803226765148813,0.10433699764196389,-0.019448120805763504,0.27496672406609346,0.15887959237192426,0.1588795923719215,0.1372214566943992,0.10860648637450745,-0.33310380517274274,0.6225104957190455,-0.39812263822955146,0.5327332214798521,-0.21517323572099883,-0.06476121625560684,0.09378725112522399,0.21288536386139179,0.3571190530180437,-0.3851203695896015,-0.1883735764159221,0.13375331413629243,-0.13390450664864964,0.08582732585971316,0.0761585699579309,-0.047665916792134645,0.0952225446824296,-0.04047366954726462,-1.1386505778974357e-17,-1.1386505778974357e-17,0.012887355180479076,0.012887355180479076
S_ku,-0.23458496903104595,0.021100317806435506,0.15249687080305416,1.0,0.17566117818657112,0.24383971467888432,-0.08274213692645983,0.15103450010682054,-0.1485750745121704,-0.006895334590703096,0.03607702282401832,0.03607702282401674,0.05342322069244628,-0.020308601077729256,-0.017277456380719505,0.07832005509725516,-0.010137540603284109,0.4518945975482553,0.24295609821170247,-0.3043836206223141,0.14989957238342064,0.19629641275688248,-0.14263337506873883,-0.17315804559905276,0.08260026228029854,0.054954158618806336,-0.10135731274865709,-0.07167519583171732,-0.11746834851506996,0.13438423673847724,-0.02664001826941536,0.12772639982922795,-2.730943304809233e-14,-2.730943304809233e-14,-0.046731128506134305,-0.046731128506134305
S_z,-0.016941249159642145,-0.00022830820472458094,-0.05332388451724979,0.17566117818657112,1.0,0.6004383436004972,-0.6547924129554051,0.6819897796303084,0.16722578425649293,0.002329306205058273,0.033534686977815094,0.033534686977813824,0.0007295741701679792,0.02410863746500189,0.05841422790649763,-0.20006694592348062,0.32262199810391307,-0.08921118914345909,-0.13305223819914722,0.02775017711267864,0.6815209895211778,0.11314948565503254,-0.10436051031984042,0.07639078002238368,0.6542049072019847,0.014777729604101042,0.1783626946101397,0.09150664472290525,0.08846168088291806,-0.0321159381146228,-0.09725096959204177,0.05230978733884216,4.29291541090093e-15,4.29291541090093e-15,0.0591077717580547,0.0591077717580547
S_10z,-0.10033453739934188,-0.057444654193551624,0.0392928365790415,0.24383971467888432,0.6004383436004972,1.0,-0.007916413938125788,0.782277867660891,0.10678894696944101,-0.021296193305986876,0.06559171602624697,0.06559171602624765,-0.01136767763306502,0.07441465166717666,0.06283276709308447,-0.1581937998782849,0.19457941727319158,-0.043448352002165805,-0.17368720330414536,-0.055139376156241704,0.7824393877749861,0.06113403579602307,-0.11023350741685878,-0.020999429839996288,0.0074883913923825055,0.16648000498764676,0.2085554774225429,-0.06090158911484733,0.05512661226823675,-0.020731041093296494,-0.13056426108248628,0.09814044770323407,8.092457384991869e-15,8.092457384991869e-15,0.034674490630408145,0.034674490630408145
S_v,-0.11842371246632223,-0.11483722530719122,0.1803226765148813,-0.08274213692645983,-0.6547924129554051,-0.007916413938125788,1.0,0.10620785526227075,-0.08081560163995133,-0.12435053323698757,-0.08316024476191694,-0.0831602447619146,-0.10209611056076828,-0.0890700847125021,-0.04762292550827146,0.15841772638870014,-0.27136486065228577,0.06155097878919104,0.014673318232878875,-0.09260664237088953,0.10641829381002883,-0.024407844136626285,-0.02950528725156023,-0.11868195632944825,-0.9997928626926077,0.04143896752445392,-0.020004509001081243,-0.06785888731143219,-0.04834865391101853,0.0933093096441226,0.036637468131689624,0.018769564562890174,-4.435783529186634e-15,-4.435783529186634e-15,-0.08354954313696256,-0.08354954313696256
S_p,-0.13688118054690962,-0.11142311249491556,0.10433699764196389,0.15103450010682054,0.6819897796303084,0.782277867660891,0.10620785526227075,1.0,0.1418010946778587,-0.11726390298435008,-0.03635205916302943,-0.03635205916302885,-0.09783392388270057,-0.054471676812933564,0.030767372877073654,-0.10991497128741737,0.16185491674436012,-0.05780639141507874,-0.16084516353097428,-0.0531030236181127,0.9995868903260237,0.12524139427475944,-0.16584787619052616,-0.014343215044338055,-0.10678034200139104,0.05954021930795017,0.2152969655256591,0.05472242303004912,0.06959562456658581,0.04803935637580844,-0.09249121605745586,0.08698134229531185,8.787930890495812e-15,8.787930890495812e-15,-0.0030847497109152086,-0.0030847497109152086
S_mean,-0.07070144267554396,-0.0743334278412417,-0.019448120805763504,-0.1485750745121704,0.16722578425649293,0.10678894696944101,-0.08081560163995133,0.1418010946778587,1.0,0.05453673360041215,-0.05564589298137956,-0.05564589298137839,0.04815289086017617,0.009596863609178627,-0.06788320821921622,-0.061076850673896545,0.21777417141092167,-0.01798462011019227,-0.1549482652786167,0.07576440840460516,0.1408508871313479,-0.05408392116820185,0.11807519168009899,0.03255426283148654,0.07906369152722059,0.039041128078732446,-0.1910150255490144,0.06608766677911881,-0.012350317662459349,-0.11787982747843907,-0.1282188837622456,0.20943969739482252,7.052880931004897e-17,7.052880931004897e-17,0.07938399351655685,0.07938399351655685
S_sc,0.45584259516652836,0.49272943826410764,0.27496672406609346,-0.006895334590703096,0.002329306205058273,-0.021296193305986876,-0.12435053323698757,-0.11726390298435008,0.05453673360041215,1.0,0.4204375059505941,0.42043750595059404,0.6735249950778766,0.5767805429041817,-0.03075503926478731,0.11539426277230476,-0.06240080506110673,0.22826844183574485,0.0979986677806434,0.1665254194184345,-0.12469037732179998,-0.06023393738363394,0.32234133405285775,0.11451097442948151,0.12330685734220025,-0.39252843835097145,-0.11452012054219748,0.19595370436535395,-0.11165948477231355,-0.09728436546476708,0.005533316046155704,-0.041977554476172005,-9.581266022039563e-15,-9.581266022039563e-15,-0.009152525063947124,-0.009152525063947124
S_3a,0.8422828733214515,0.893143243674792,0.15887959237192426,0.03607702282401832,0.033534686977815094,0.06559171602624697,-0.08316024476191694,-0.03635205916302943,-0.05564589298137956,0.4204375059505941,1.0,0.9999999999999997,0.7930278781391946,0.8234095451167407,-0.06800063184859292,0.06778673537024586,-0.12932299324239768,0.2458855200954043,0.15103782755187287,0.29777384739863744,-0.05060774298990957,0.13103513114036014,0.3286028936882059,0.3590941019481596,0.0830248655090327,0.11220485753326463,0.04674125837772659,0.06708600931065166,0.037297331607970365,-0.12335372753902109,0.07741202904408259,-0.04810181584030819,-1.2584475710765084e-14,-1.2584475710765084e-14,0.31449400495461616,0.31449400495461616
S_dr,0.8422828733214529,0.8931432436747918,0.1588795923719215,0.03607702282401674,0.033534686977813824,0.06559171602624765,-0.0831602447619146,-0.03635205916302885,-0.05564589298137839,0.42043750595059404,0.9999999999999997,1.0,0.7930278781391964,0.8234095451167445,-0.06800063184859137,0.06778673537024268,-0.12932299324239568,0.2458855200954043,0.15103782755187292,0.2977738473986382,-0.050607742989908985,0.13103513114036122,0.3286028936882032,0.3590941019481594,0.08302486550903036,0.11220485753326376,0.04674125837772991,0.06708600931065238,0.03729733160797318,-0.12335372753902206,0.07741202904408172,-0.04810181584030636,-4.2597052005860924e-14,-4.2597052005860924e-14,0.3144940049546186,0.3144940049546186
S_dq,0.7975138061564063,0.8495412816359162,0.1372214566943992,0.05342322069244628,0.0007295741701679792,-0.01136767763306502,-0.10209611056076828,-0.09783392388270057,0.04815289086017617,0.6735249950778766,0.7930278781391946,0.7930278781391964,1.0,0.8684733818088123,-0.04405120689433046,0.04999945104014366,-0.05931821757382277,0.2243095371497935,0.21248003475115332,0.33411872351865146,-0.1107464136245292,0.08808967988052822,0.3231325603293397,0.312992478144264,0.1022248011516598,-0.07922404495835739,-0.08649245003162069,0.1884655407373662,-0.029347208556049453,-0.11696695989305422,0.03458768611189063,0.008193532347388658,-1.3122558606916157e-12,-1.3122558606916157e-12,0.17461083089692578,0.17461083089692578
S_dq6,0.7871128648503172,0.8101255276478392,0.10860648637450745,-0.020308601077729256,0.02410863746500189,0.07441465166717666,-0.0890700847125021,-0.054471676812933564,0.009596863609178627,0.5767805429041817,0.8234095451167407,0.8234095451167445,0.8684733818088123,1.0,-0.03338390380612935,0.07553866040333392,-0.14832824097526928,0.17175055144795487,0.09380609428676524,0.3391438137130814,-0.06667098127205123,0.0786391262718284,0.2993331436688812,0.3209968973205837,0.08941650303606127,0.049702328311749006,-0.07229301088785833,0.07110177277687867,-0.06780024135642307,-0.03568486336104019,-0.04920507796425067,0.049222778275042116,-8.044261731184731e-13,-8.044261731184731e-13,0.22156913163797162,0.22156913163797162
S_bi,0.01461894837185862,-0.09244351035624071,-0.33310380517274274,-0.017277456380719505,0.05841422790649763,0.06283276709308447,-0.04762292550827146,0.030767372877073654,-0.06788320821921622,-0.03075503926478731,-0.06800063184859292,-0.06800063184859137,-0.04405120689433046,-0.03338390380612935,1.0,-0.7201815401095585,0.05782429315179552,-0.22562210212731482,-0.01771140331970196,0.16434196211292068,0.05577304622611412,-0.7060509329029616,-0.2517130882325844,0.08754551631497606,0.051243817694061174,-0.1507729814618481,0.04621778732743545,0.09856482483460642,0.05900712988598963,0.1594536522837666,0.019680056057141345,-0.062637198622544,2.2597304914421717e-14,2.2597304914421717e-14,-0.08955669373460665,-0.08955669373460665
S_ci,-0.0034740343528629047,0.07274024485580641,0.6225104957190455,0.07832005509725516,-0.20006694592348062,-0.1581937998782849,0.15841772638870014,-0.10991497128741737,-0.061076850673896545,0.11539426277230476,0.06778673537024586,0.06778673537024268,0.04999945104014366,0.07553866040333392,-0.7201815401095585,1.0,-0.6181193438915148,0.3595210718405305,-0.058090639124536936,-0.16642177821444995,-0.12777402068784466,0.5057213299535809,0.21866909670365134,-0.22791669023735897,-0.1622510026862775,0.11744297123624227,-0.047965390006703426,-0.0661917233076441,-0.0815170668573933,0.0037419188660993323,-0.017018807375613974,0.07444397974010603,-1.6799611505962642e-14,-1.6799611505962642e-14,0.07367183193862299,0.07367183193862299
S_vi,-0.1091263156817534,-0.08992308173530622,-0.39812263822955146,-0.010137540603284109,0.32262199810391307,0.19457941727319158,-0.27136486065228577,0.16185491674436012,0.21777417141092167,-0.06240080506110673,-0.12932299324239768,-0.12932299324239568,-0.05931821757382277,-0.14832824097526928,0.05782429315179552,-0.6181193438915148,1.0,-0.12824819398492784,0.07098690835352406,-0.01321485297308906,0.16406813225857383,-0.10755068185677014,-0.005220874562921777,0.12999221195320335,0.2722640151933443,-0.05991423832565599,-0.02268799930344774,0.04429717328664561,0.16180222924901633,-0.18656961416113188,0.04675971754613814,-0.1409212788418232,-8.250367263019062e-15,-8.250367263019062e-15,-0.06869481645114056,-0.06869481645114056
S_pk,0.08462541399479509,0.2336209020901272,0.5327332214798521,0.4518945975482553,-0.08921118914345909,-0.043448352002165805,0.06155097878919104,-0.05780639141507874,-0.01798462011019227,0.22826844183574485,0.2458855200954043,0.2458855200954043,0.2243095371497935,0.17175055144795487,-0.22562210212731482,0.3595210718405305,-0.12824819398492784,1.0,0.12614453971807674,-0.2929099478244445,-0.06636091872836511,0.28919935148030396,0.09818293972171796,-0.09045908177908388,-0.0645317437298659,-0.005064437768872392,-0.08208402184860485,-0.1442313350758641,0.21546376758285032,0.014047695892482052,0.061647765678568646,-0.088508536210443,-1.526101849075333e-14,-1.526101849075333e-14,0.031911911210380846,0.031911911210380846
S_vk,0.0802346104137871,0.20070335280235757,-0.21517323572099883,0.24295609821170247,-0.13305223819914722,-0.17368720330414536,0.014673318232878875,-0.16084516353097428,-0.1549482652786167,0.0979986677806434,0.15103782755187287,0.15103782755187292,0.21248003475115332,0.09380609428676524,-0.01771140331970196,-0.058090639124536936,0.07098690835352406,0.12614453971807674,1.0,-0.1730002880767651,-0.16368609749005897,-0.031019984492397186,0.09686943642462516,0.1923494937917152,-0.013668310725448763,-0.14792164678632214,0.0718566370673,0.008046116952892972,-0.21613858648113835,0.1661941972893367,-0.12442175875664047,0.19866064856540602,-2.8443665037764033e-14,-2.8443665037764033e-14,-0.003986093147823203,-0.003986093147823203
S_k,0.5249839721198152,0.37455128138510346,-0.06476121625560684,-0.3043836206223141,0.02775017711267864,-0.055139376156241704,-0.09260664237088953,-0.0531030236181127,0.07576440840460516,0.1665254194184345,0.29777384739863744,0.2977738473986382,0.33411872351865146,0.3391438137130814,0.16434196211292068,-0.16642177821444995,-0.01321485297308906,-0.2929099478244445,-0.1730002880767651,1.0,-0.05439615098447011,-0.03629313704855383,0.06436106013010975,0.13394693110258646,0.09307576486473583,0.056953420031464475,0.03314250012553155,0.21754391777148102,0.11326632738055518,-0.22075629733648963,0.2393142415165081,-0.1519571676549258,-1.005657515648424e-13,-1.005657515648424e-13,-0.07269789606125836,-0.07269789606125836
S_dc0-5,-0.14959060275188596,-0.12758648555262764,0.09378725112522399,0.14989957238342064,0.6815209895211778,0.7824393877749861,0.10641829381002883,0.9995868903260237,0.1408508871313479,-0.12469037732179998,-0.05060774298990957,-0.050607742989908985,-0.1107464136245292,-0.06667098127205123,0.05577304622611412,-0.12777402068784466,0.16406813225857383,-0.06636091872836511,-0.16368609749005897,-0.05439615098447011,1.0,0.10638443855866861,-0.1770234526311622,-0.017512385123498352,-0.10690446051521471,0.055687196464566546,0.21626416956841377,0.05512535843657774,0.06976890127603373,0.054165878677567024,-0.09527425214378045,0.08758801690683751,-3.0640209989135293e-15,-3.0640209989135293e-15,-0.006379583521472712,-0.006379583521472712
S_dc5-10,0.04483039584156572,0.12160884507566982,0.21288536386139179,0.19629641275688248,0.11314948565503254,0.06113403579602307,-0.024407844136626285,0.12524139427475944,-0.05408392116820185,-0.06023393738363394,0.13103513114036014,0.13103513114036122,0.08808967988052822,0.0786391262718284,-0.7060509329029616,0.5057213299535809,-0.10755068185677014,0.28919935148030396,-0.031019984492397186,-0.03629313704855383,0.10638443855866861,1.0,-0.27687753182852265,-0.04847097078347239,0.02332516708617488,0.1281438564198612,0.08352927772418685,-0.06740977183943642,0.05557132505874119,-0.17043701207769243,0.07899662368725795,0.02522752772384343,1.4184547273685772e-14,1.4184547273685772e-14,0.06852962122370494,0.06852962122370494
S_dc10-50,0.3525489785010129,0.3937859363444532,0.3571190530180437,-0.14263337506873883,-0.10436051031984042,-0.11023350741685878,-0.02950528725156023,-0.16584787619052616,0.11807519168009899,0.32234133405285775,0.3286028936882059,0.3286028936882032,0.3231325603293397,0.2993331436688812,-0.2517130882325844,0.21866909670365134,-0.005220874562921777,0.09818293972171796,0.09686943642462516,0.06436106013010975,-0.1770234526311622,-0.27687753182852265,1.0,-0.25155628695527255,0.01572217001328445,0.0848837949952978,-0.15343933669751172,0.07595539395669745,-0.07849552020115734,-0.11027598010319653,0.11189341515175229,-0.024919679460009142,1.98668801761087e-14,1.98668801761087e-14,0.06519496377493235,0.06519496377493235
