,S_a,S_q,S_sk,S_ku,S_z,S_10z,S_v,S_p,S_mean,S_sc,S_3a,S_dr,S_dq,S_dq6,S_bi,S_ci,S_vi,S_pk,S_vk,S_k,S_dc0-5,S_dc5-10,S_dc10-50,S_dc50-95,S_dc50-100,S_ds,S_td,S_tdi,S_rw,S_rwi,S_hw,S_fd,S_cl20,S_cl37,S_tr20,S_tr37
S_a,1.0,0.9953211362349524,-0.15233376478726085,0.012860577410832701,0.8890005784371939,0.8725236037276616,-0.8689197380980476,0.8192092627600189,0.8699901616805024,0.6356018104022793,0.3751560910405379,0.9179582346597217,0.6189989755074798,0.935163685463697,0.33557887936853537,-0.3465105387902771,0.23197741697841812,0.8256162822267639,0.8700738704401,0.9870616993823742,0.638161525656771,0.8952897801937081,0.9770621583976146,0.9842372830668664,0.8739574082564576,-0.6231144432612455,0.15943813729731007,0.03523395013062436,-0.021235982991646297,0.03579661025572156,-0.1231804639011273,0.20594852146482695,0.03932673684767539,0.03932673684767539,-0.14234161489623498,0.01927709157341752
S_q,0.9953211362349524,1.0,-0.13402818009250667,0.0910700377979663,0.9160945862549583,0.9026789368935705,-0.894609171544951,0.8448342539722853,0.8954657990455983,0.6323005488735672,0.38688601236410064,0.9146563931681893,0.62758522116868,0.9262274645768562,0.3687157914187652,-0.3750089486251568,0.28285525234556097,0.8625931621905475,0.9015363227454365,0.9706500572219846,0.6728692490501147,0.9132419833218297,0.9720883235578797,0.9861496803174662,0.8989177282304399,-0.6173875470064288,0.16765889798987466,0.017045847352264068,-0.014424087694166868,0.0381445625662997,-0.1150967881254527,0.21213182636689845,0.04294611075453783,0.04294611075453783,-0.14103118856130156,0.026762341697367627
S_sk,-0.15233376478726085,-0.13402818009250667,1.0,0.26148460513512806,-0.04926527895225592,0.06777124430473437,0.25712206885027356,0.18538118994353983,-0.2561157440798337,-0.3780818133733446,0.14142356754722077,-0.22333210394533629,-0.4338554168666235,-0.2194453416256374,-0.17017580052742348,0.3462108152857868,-0.5027116050322952,0.2234179738274545,-0.32536633916536345,-0.15688284347560613,0.3010150919657482,0.038853513536191674,-0.09443196134270684,-0.21379457838456445,-0.27062076599278195,0.15952432529035862,0.1775902216569689,0.5457311293516265,0.17259137826889143,-0.15080832709149306,0.15382766888368557,-0.008923934348451214,0.349137531874436,0.349137531874436,0.23127026446168206,0.1542660723224418
S_ku,0.012860577410832701,0.0910700377979663,0.26148460513512806,1.0,0.2702922234595893,0.3466498968803523,-0.2419275184732038,0.2747221213550043,0.23939174428526552,0.0790588306256503,-0.011360480471366972,0.07617060079666257,0.22086378911749396,-0.01530431370198324,0.5472089111755344,-0.4594113069209994,0.31464122638047626,0.36208961918269267,0.26491700340793195,-0.07461547941027706,0.36762400344659507,0.1586582135917699,-0.026817491071815698,0.04160585866824036,0.23761389089375168,0.0229221302896477,0.13999095962187935,-0.16602061549494707,-0.15389721216427252,0.132178972855318,0.037577687795153476,0.08756865655368154,-0.17344637902318286,-0.17344637902318286,0.15864574807604231,0.08991461336508061
S_z,0.8890005784371939,0.9160945862549583,-0.04926527895225592,0.2702922234595893,1.0,0.9148459803266993,-0.9548877148611196,0.9439450752955828,0.9556226579914732,0.5519543853874648,0.37622412594916343,0.8517863105386039,0.5714625894908744,0.8521821652933881,0.4154459955617051,-0.3978368851356478,0.3579207327957299,0.8961625839867062,0.8768854365269565,0.8534570054915622,0.8568016266425346,0.8333219205181789,0.8886303119950193,0.8751045758689545,0.9526528094344735,-0.5659603315933627,0.17510471409161288,0.025939053557661993,0.05187046060606671,0.12612695574345875,-0.18315143191160527,0.36961162874796466,0.08389954485185551,0.08389954485185551,-0.11279926906093382,0.07434989056371058
S_10z,0.8725236037276616,0.9026789368935705,0.06777124430473437,0.3466498968803523,0.9148459803266993,1.0,-0.8878635208447037,0.8492074196476952,0.8881287161729428,0.5508001874611466,0.474938970807883,0.7973945431650125,0.5245278763037846,0.8043686842255378,0.457375959961866,-0.4105310588729249,0.2932583515531894,0.9125168677126333,0.8278781213090608,0.8309708037438152,0.737777430346206,0.8543329694659304,0.8535492042787473,0.8621871213400997,0.8873506868296982,-0.4645793096251149,0.13949708663117463,0.05234912603596936,-0.03418497783955582,0.016979407045181822,-0.042909464925147564,0.2272007141345975,0.11235939642596403,0.11235939642596403,-0.06420983183517093,0.1290437252842113
S_v,-0.8689197380980476,-0.894609171544951,0.25712206885027356,-0.2419275184732038,-0.9548877148611196,-0.8878635208447037,1.0,-0.8041156820817928,-0.9999416655522406,-0.6034591134101428,-0.36867895676340334,-0.848377274938082,-0.6199848368939541,-0.8468876324715728,-0.4412455432445387,0.4562980425769689,-0.4574229205737526,-0.8173772189485637,-0.9013233631393135,-0.8324498509795762,-0.6811790762181915,-0.7939385168955553,-0.855860427173113,-0.867562076724008,-0.9996396576720363,0.518366504308042,-0.09569660673147072,0.10502788722571094,0.07330481076475066,-0.15130725176446463,0.19055177117995986,-0.3460118811165392,-0.04067545474883,-0.04067545474883,0.1839956430976565,-0.09053922913092478
S_p,0.8192092627600189,0.8448342539722853,0.18538118994353983,0.2747221213550043,0.9439450752955828,0.8492074196476952,-0.8041156820817928,1.0,0.8056410722414715,0.4393700912686304,0.34038406009775946,0.766634056459874,0.4621648080437606,0.769503673122604,0.3463482406849274,-0.29572737265942534,0.20966953903321595,0.8889326300953675,0.7592198985721104,0.788797543816035,0.9608038807041319,0.7898677637985685,0.8336734827067771,0.7919170946437104,0.8000633593069811,-0.5688967656474804,0.2512946564030153,0.16475532288957054,0.18104981123607966,0.09242518447749846,-0.15644713089213863,0.3540805759230375,0.11892759762698651,0.11892759762698651,-0.020837494333105302,0.047935765753231115
S_mean,0.8699901616805024,0.8954657990455983,-0.2561157440798337,0.23939174428526552,0.9556226579914732,0.8881287161729428,-0.9999416655522406,0.8056410722414715,1.0,0.6051719006182937,0.3696313613091043,0.8494338368964894,0.6204712176182307,0.8481572496503731,0.4411617466715452,-0.45616876222491953,0.45660607315750107,0.8179380333509659,0.901250611849554,0.8336599547286703,0.6827789668025579,0.7945069457309258,0.856970901053089,0.8686596481023604,0.9996068731248869,-0.518950118909576,0.09512244009541093,-0.10452823859900946,-0.0721136147527598,0.1513907294135797,-0.19022801142324228,0.3460505723312933,0.04154712184877127,0.04154712184877127,-0.18082227038480245,0.09141903572946128
S_sc,0.6356018104022793,0.6323005488735672,-0.3780818133733446,0.0790588306256503,0.5519543853874648,0.5508001874611466,-0.6034591134101428,0.4393700912686304,0.6051719006182937,1.0,0.009661357030564406,0.7916066368505544,0.9097205174764893,0.7610138957422056,0.31619495845748585,-0.35265743136704425,0.19228347012376554,0.4238211313696435,0.5996021879043066,0.6359641180724597,0.30250203272262793,0.5251815586067785,0.6128043565057292,0.6213675516560198,0.6099855956918606,-0.36156337630966084,0.15459219200930363,-0.5061414384255596,-0.22006337387086705,0.3823883783867917,-0.4050679627281298,0.25236768075389715,-0.5277203296543501,-0.5277203296543501,0.10085632641522176,0.08414770160303872
S_3a,0.3751560910405379,0.38688601236410064,0.14142356754722077,-0.011360480471366972,0.37622412594916343,0.474938970807883,-0.36867895676340334,0.34038406009775946,0.3696313613091043,0.009661357030564406,1.0,0.18189943762494595,-0.1108302131104395,0.22480790015437596,-0.04420144991596259,0.07021083006719467,0.06898507260833676,0.42357460862788765,0.2968822728094435,0.3485155275982696,0.2668070266569834,0.4009658527395569,0.40807560317084923,0.37529564001230903,0.36464605296388874,-0.0036447757153801725,-0.040174952367795044,0.2612576451659649,0.1191461237206571,-0.4914254916678989,0.46552878878215354,-0.3861175730235372,0.5504665677956847,0.5504665677956847,0.08035823148231182,0.3629983712628784
S_dr,0.9179582346597217,0.9146563931681893,-0.22333210394533629,0.07617060079666257,0.8517863105386039,0.7973945431650125,-0.848377274938082,0.766634056459874,0.8494338368964894,0.7916066368505544,0.18189943762494595,1.0,0.7833265606604345,0.9634589364151838,0.3420630125928357,-0.35991835514449955,0.2291345181731694,0.7508400472653269,0.8175251188890607,0.9076682179259966,0.6125271950943997,0.8157644132703061,0.8920156795923061,0.8894394936530089,0.8528297806087182,-0.6102354819394744,0.14059114369515224,-0.11769681215598336,-0.10729968298541989,0.3018567879358452,-0.3780406452470316,0.3454299076723002,-0.2119157221400042,-0.2119157221400042,-0.11225991070901123,0.0457935419535043
S_dq,0.6189989755074798,0.62758522116868,-0.4338554168666235,0.22086378911749396,0.5714625894908744,0.5245278763037846,-0.6199848368939541,0.4621648080437606,0.6204712176182307,0.9097205174764893,-0.1108302131104395,0.7833265606604345,1.0,0.7231875698262357,0.33590549327600694,-0.3900645190297898,0.28551805776600353,0.4486277751089264,0.646966604633534,0.6030126301056914,0.3389592075356972,0.5512168972895347,0.5977783429635447,0.6135678517404642,0.6258234205829228,-0.5112795213894619,0.15040536078176267,-0.5938801217203146,-0.1472636318351025,0.41015139356380276,-0.46576717415625885,0.30027474591128184,-0.626238716298113,-0.626238716298113,-0.023508711784418195,-0.005821020401291677
S_dq6,0.935163685463697,0.9262274645768562,-0.2194453416256374,-0.01530431370198324,0.8521821652933881,0.8043686842255378,-0.8468876324715728,0.769503673122604,0.8481572496503731,0.7610138957422056,0.22480790015437596,0.9634589364151838,0.7231875698262357,1.0,0.3043315966056002,-0.33009230613420243,0.2306346206370531,0.7318361370338134,0.807050615642136,0.9364034318607819,0.6086261579418251,0.8160005802907185,0.9263905260590394,0.9089228704629013,0.8507292063913984,-0.6230912532668084,0.15280968164338912,-0.05693744450306743,-0.12800831076087846,0.2926761215425003,-0.36972857769054013,0.3446418414820221,-0.0941068981995759,-0.0941068981995759,-0.09575137000505884,0.0868604441696113
S_bi,0.33557887936853537,0.3687157914187652,-0.17017580052742348,0.5472089111755344,0.4154459955617051,0.457375959961866,-0.4412455432445387,0.3463482406849274,0.4411617466715452,0.31619495845748585,-0.04420144991596259,0.3420630125928357,0.33590549327600694,0.3043315966056002,1.0,-0.9756532543746429,0.5057310096517212,0.2959594495740976,0.493470054756509,0.303634555888472,0.3612182705974907,0.1346113933960137,0.20517430853246263,0.4014037854432745,0.4530739316969651,-0.2168862113674042,-0.0781036014331416,-0.1842668375409963,-0.2620215029122322,0.11949008824400119,0.03354185300418913,0.1254054857228088,-0.2679053544868093,-0.2679053544868093,-0.07348003257663967,-0.057219074543365674
S_ci,-0.3465105387902771,-0.3750089486251568,0.3462108152857868,-0.4594113069209994,-0.3978368851356478,-0.4105310588729249,0.4562980425769689,-0.29572737265942534,-0.45616876222491953,-0.35265743136704425,0.07021083006719467,-0.35991835514449955,-0.3900645190297898,-0.33009230613420243,-0.9756532543746429,1.0,-0.6279101134513955,-0.23613445606567546,-0.5368937161492645,-0.31275162803987594,-0.2873487315593284,-0.12356426432869201,-0.21341188260480567,-0.429437663746053,-0.47045840605600053,0.26405324656991214,0.09036323723044197,0.26263357356664313,0.2655280773082685,-0.14665252990998617,0.0062014965950792445,-0.10697572613324739,0.3016260275842137,0.3016260275842137,0.13165485600960616,0.09108159162365329
S_vi,0.23197741697841812,0.28285525234556097,-0.5027116050322952,0.31464122638047626,0.3579207327957299,0.2932583515531894,-0.4574229205737526,0.20966953903321595,0.45660607315750107,0.19228347012376554,0.06898507260833676,0.2291345181731694,0.28551805776600353,0.2306346206370531,0.5057310096517212,-0.6279101134513955,1.0,0.21683087631841141,0.5971629986902676,0.1373837642074162,0.18613328056834794,0.20326985813114723,0.1679415237310126,0.36315702838195285,0.4658053145852572,-0.21149512358323977,0.004749892205235039,-0.30033500366365506,-0.04977224068369065,0.0833496769830619,-0.04021808942785151,0.04893708925354105,-0.026179520081013808,-0.026179520081013808,-0.2633544523510069,-0.10385217297556577
S_pk,0.8256162822267639,0.8625931621905475,0.2234179738274545,0.36208961918269267,0.8961625839867062,0.9125168677126333,-0.8173772189485637,0.8889326300953675,0.8179380333509659,0.4238211313696435,0.42357460862788765,0.7508400472653269,0.4486277751089264,0.7318361370338134,0.2959594495740976,-0.23613445606567546,0.21683087631841141,1.0,0.779908295812802,0.7725579362060397,0.7943831681266265,0.9282632342501288,0.8177498906760866,0.8052094350739087,0.8134156722042974,-0.47369377838851406,0.1674674810871089,0.12354468823678784,0.09638463318118543,0.019090057555819908,-0.06794221742459501,0.24317722553654617,0.16369488054271011,0.16369488054271011,-0.06055614585410644,0.11414273511893822
S_vk,0.8700738704401,0.9015363227454365,-0.32536633916536345,0.26491700340793195,0.8768854365269565,0.8278781213090608,-0.9013233631393135,0.7592198985721104,0.901250611849554,0.5996021879043066,0.2968822728094435,0.8175251188890607,0.646966604633534,0.807050615642136,0.493470054756509,-0.5368937161492645,0.5971629986902676,0.779908295812802,1.0,0.8045303054332753,0.6172184273032989,0.8147898436037534,0.8260765691250126,0.9138123809435758,0.907622937914437,-0.5305227440887411,0.1425328497448078,-0.18225764979995973,-0.011810370460182195,0.05894947174891391,-0.09406774433290142,0.1887559483459005,-0.015810467491609526,-0.015810467491609526,-0.1916715733666319,-0.026134234790194447
S_k,0.9870616993823742,0.9706500572219846,-0.15688284347560613,-0.07461547941027706,0.8534570054915622,0.8309708037438152,-0.8324498509795762,0.788797543816035,0.8336599547286703,0.6359641180724597,0.3485155275982696,0.9076682179259966,0.6030126301056914,0.9364034318607819,0.303634555888472,-0.31275162803987594,0.1373837642074162,0.7725579362060397,0.8045303054332753,1.0,0.6085239275192481,0.8483038750147637,0.9681320334020064,0.9535647972297272,0.837172283664177,-0.6268132109896748,0.11554808101200834,0.052983268859921974,-0.03614890284948232,0.05148505498726999,-0.1430814916574853,0.21801451127070717,0.02630317166052611,0.02630317166052611,-0.1300677196464558,0.02995232706901215
S_dc0-5,0.638161525656771,0.6728692490501147,0.3010150919657482,0.36762400344659507,0.8568016266425346,0.737777430346206,-0.6811790762181915,0.9608038807041319,0.6827789668025579,0.30250203272262793,0.2668070266569834,0.6125271950943997,0.3389592075356972,0.6086261579418251,0.3612182705974907,-0.2873487315593284,0.18613328056834794,0.7943831681266265,0.6172184273032989,0.6085239275192481,1.0,0.620140288551421,0.6599533870736697,0.6093056957814006,0.6742314861331259,-0.47299803942956503,0.22515732371046254,0.1984111691132228,0.24259943995411393,0.11936289863891233,-0.15780791191699656,0.38789854510848176,0.12161327719116492,0.12161327719116492,0.03843739012251658,0.05466168583747813
