,S_a,S_q,S_sk,S_ku,S_z,S_10z,S_v,S_p,S_mean,S_sc,S_3a,S_dr,S_dq,S_dq6,S_bi,S_ci,S_vi,S_pk,S_vk,S_k,S_dc0-5,S_dc5-10,S_dc10-50,S_dc50-95,S_dc50-100,S_ds,S_td,S_tdi,S_rw,S_rwi,S_hw,S_fd,S_cl20,S_cl37,S_tr20,S_tr37
S_a,1.0,0.9985815159067223,-0.15262799426604748,-0.20851022902834992,0.9341869445934724,0.9179289875566983,-0.926672326777343,0.9075686301521336,0.8567330925975002,0.5184963866569559,0.5507654874287837,0.5507654874287838,0.15240191641496256,0.157708150354673,0.0020623396282409803,-0.01776559729734721,0.004695562768846939,0.9042520382929703,0.7767712976568821,0.97563813173658,0.728072179664215,0.8848973426451047,0.983384224827669,0.9592386397219381,0.8999260861698194,-0.2643890015325934,0.12543391405659904,-0.0033398251861982567,0.0256205237738811,-0.12229012171746842,0.14911954621045323,-0.2338359933393904,8.275497997547979e-16,8.275497997547979e-16,-0.03450723836619543,-0.05952960743291706
S_q,0.9985815159067223,1.0,-0.1369917260587849,-0.18872525964297787,0.9430490191969106,0.9280800429132499,-0.9330450657095655,0.917661273245643,0.858563914554334,0.5265658318775466,0.5586323498037713,0.5586323498037713,0.15326988331755817,0.15874299158343394,-0.01626425412005162,-0.0010328073887016017,0.01693947652473575,0.9174191778353228,0.7920801789158846,0.9729269022358281,0.741390439800553,0.9022626339248433,0.9824676758069625,0.9618495865620184,0.906844938796157,-0.2531489374303373,0.1259252287049941,-0.001213975059605137,0.027018145082979204,-0.1195407692287701,0.14647041949171272,-0.23142428123979153,-1.885258755702314e-15,-1.885258755702314e-15,-0.03236416054330373,-0.0565429040131176
S_sk,-0.15262799426604748,-0.1369917260587849,1.0,0.8117332184413598,-0.13897120973196994,-0.07263206561596748,0.27524451250264187,-0.050744229859703664,-0.3136879423711893,-0.1338229989189663,-0.09725944698700165,-0.09725944698700165,-0.05452004966049354,-0.06179581836705879,-0.6544876866593665,0.7356373347822773,-0.6758363564582137,0.10276308231557565,-0.32491538856729496,-0.22874209147753494,-0.027953921134882126,0.07621752545567653,-0.07893490010847351,-0.2760343867040706,-0.30567667889288297,0.2803122025828284,-0.10299686444332322,-0.10207137257378157,0.01814745093415915,-0.07953742451313338,0.02273100122105815,0.021523973839896567,-1.3000252053193495e-15,-1.3000252053193495e-15,-0.05578916372946179,-0.08263983733754454
S_ku,-0.20851022902834992,-0.18872525964297787,0.8117332184413598,1.0,-0.12469597741777903,-0.09728706660088117,0.18777807359961599,-0.08183710504384785,-0.19922747698701349,-0.0699601571509805,-0.04449708230322192,-0.04449708230322192,-0.06661502863071218,-0.07331607705486023,-0.22764769766372941,0.31444174902622507,-0.2567612333442294,-0.05339467294167327,-0.14392150971722878,-0.22743812097728308,-0.005841962313415126,-0.028403011985381962,-0.19826990710095344,-0.21816350458384337,-0.18801163185905273,0.3344472412753389,-0.22333687058441717,-0.061985867901554866,0.04734497213426396,0.00582164766526254,-0.045825211300183834,0.11886778719143713,-1.3177961797359648e-15,-1.3177961797359648e-15,0.006582427470677721,-0.003948416471046885
S_z,0.9341869445934724,0.9430490191969106,-0.13897120973196994,-0.12469597741777903,1.0,0.9878892891949839,-0.9660805563887298,0.9873768100897705,0.9203890424881114,0.7402407177585728,0.7520612523128178,0.7520612523128178,0.1651258166320709,0.17609650082256173,0.05646936882891144,-0.07875313595090383,0.12037627570833151,0.856024766523579,0.835261899506755,0.948599583192576,0.9104118840926775,0.876060183521605,0.8896501821673837,0.937878412591112,0.9532486544169331,-0.06729228917782448,0.10181510029562546,0.12446101023816765,0.0296301772515898,0.058263539851965536,-0.040492927174367324,-0.0200271708193467,-2.9372708128576628e-15,-2.9372708128576628e-15,0.04361738176139175,0.06365709532928618
S_10z,0.9179289875566983,0.9280800429132499,-0.07263206561596748,-0.09728706660088117,0.9878892891949839,1.0,-0.9288143937841215,0.9910997138899699,0.8853146117347179,0.7618411217395528,0.7676835057811233,0.7676835057811233,0.16568194663075822,0.17920063297694788,0.00020775592806948886,-0.019774152751199103,0.05482061415561306,0.8712626098281678,0.7816037995928087,0.9268504622834588,0.9217823109005222,0.8887943441339861,0.8819944633312291,0.90270277759137,0.9116670244284966,-0.005537412717599122,0.12051763307428587,0.14344872399412975,0.02194742891687169,0.08732867922229104,-0.08475757053345184,0.018693812520306854,1.1045743413455497e-15,1.1045743413455497e-15,0.04601983386344922,0.06892865258905007
S_v,-0.926672326777343,-0.9330450657095655,0.27524451250264187,0.18777807359961599,-0.9660805563887298,-0.9288143937841215,1.0,-0.9129830542862285,-0.9506514280538972,-0.6703876824455981,-0.6873635604653602,-0.6873635604653602,-0.1575687910748568,-0.16659572923788135,-0.15616749742002525,0.18681791122825966,-0.25103830641652003,-0.7907788898407494,-0.9127789565866614,-0.9516226994834148,-0.8060605730511635,-0.8190988687401298,-0.8671784251868808,-0.969967620754328,-0.9969418856896144,0.14667249851049963,-0.07525740806807328,-0.07961715566927535,-0.028827822703295546,-0.006929159522867077,-0.02902553838255107,0.08315814495971771,6.273638895285111e-16,6.273638895285111e-16,-0.029355419769746618,-0.044469937677021065
S_p,0.9075686301521336,0.917661273245643,-0.050744229859703664,-0.08183710504384785,0.9873768100897705,0.9910997138899699,-0.9129830542862285,1.0,0.8710618941742497,0.7583399958309179,0.7666034358162597,0.7666034358162596,0.1642411211126216,0.17603725805416803,-0.006566867472209319,-0.009840434554897713,0.03621247823061429,0.8674279567062624,0.7597972475455679,0.9150363041976315,0.9439818985501516,0.8817124104928277,0.8736943869796925,0.886846183350234,0.8945854553341661,-0.016356017927336153,0.11470053374496489,0.14780504546102388,0.02913183580615821,0.08780125940765099,-0.08177765449736532,0.01936288851336069,-1.0844883545614662e-15,-1.0844883545614662e-15,0.05090677088387145,0.07329741980167596
S_mean,0.8567330925975002,0.858563914554334,-0.3136879423711893,-0.19922747698701349,0.9203890424881114,0.8853146117347179,-0.9506514280538972,0.8710618941742497,1.0,0.7303331936095654,0.7340351381320976,0.7340351381320978,0.15667766713689166,0.16719976682575366,0.2455530897082163,-0.26545260295893003,0.24901204949943323,0.687706921493968,0.8455422719610872,0.9040222779490402,0.8042255491764937,0.7259302821402158,0.7815494140970093,0.9079376226033069,0.9540283120279814,-0.09302352369632633,0.03658670371256643,0.14162120812384532,0.04233252173250899,0.08267288112057293,-0.06302614857976467,0.024769466473930787,1.7607970737495094e-15,1.7607970737495094e-15,0.05531019957045751,0.09292595008267963
S_sc,0.5184963866569559,0.5265658318775466,-0.1338229989189663,-0.0699601571509805,0.7402407177585728,0.7618411217395528,-0.6703876824455981,0.7583399958309179,0.7303331936095654,1.0,0.9490471950525183,0.9490471950525183,0.1369651083620432,0.15911426969784884,0.18032482261053792,-0.20688450103898454,0.1705706348149599,0.4267753851743834,0.5496803868374188,0.6103535047306494,0.8720619448680739,0.4850465395831597,0.44320152804653024,0.5668940362141157,0.6814053275461049,0.3815504933714739,0.048081898186923495,0.4032770935278642,0.015879170690455233,0.4841136405290998,-0.49083762840503137,0.5170451917607972,3.3854174817811337e-16,3.3854174817811337e-16,0.19662857025207645,0.3150056883289429
